"file_id"	"cases.samples.submitter_id"
"9683af83-e799-4022-89f7-2d205343014e"	"TCGA-S7-A7WN-01A"
"839a159a-8bff-483c-a8a6-f5e068b3352f"	"TCGA-WB-A81G-01A"
"5cd3d60f-9131-417c-9f14-596feea6fd2f"	"TCGA-P7-A5NY-05A"
"57a94428-168a-4c8c-b882-73559e871ab4"	"TCGA-S7-A7WX-01A"
"68c6e983-c057-4c20-936a-64f75c95ea79"	"TCGA-P8-A5KC-11A"
"3a79dbff-19d0-4ba8-93d1-e56e9312ba10"	"TCGA-WB-A81M-01A"
"662d732f-7026-4ba6-ba4a-187fa58bb749"	"TCGA-WB-A81S-01A"
"79f2fc84-3257-4141-9fdc-218d273d98f8"	"TCGA-SQ-A6I4-11A"
"5b222c16-e87b-469b-8ba7-85e0556cf65a"	"TCGA-BR-A4CS-01A"
"0d8c74cb-6beb-447d-8e18-f97ca5dc173d"	"TCGA-VQ-A8PK-01A"
"069d3fda-a2a6-4481-af78-835358b37c9f"	"TCGA-BT-A20U-11A"
"c8ae4648-c8e7-4565-98c1-269bab5d8b7a"	"TCGA-GC-A3I6-01A"
"f72002db-8267-406c-9480-e8572baaa558"	"TCGA-XF-A8HF-01A"
"e1886945-8ddc-4fc8-9a95-d30b7f20d5c9"	"TCGA-FD-A3B6-01A"
"c15192c7-2c27-4af8-82a9-20494a2ed4dd"	"TCGA-GU-AATO-01A"
"936c0db4-af45-4a2b-891a-dcde4a3897ed"	"TCGA-BL-A0C8-01B"
"6e02ef88-2eb8-4e69-89c5-dd4647aacad8"	"TCGA-UY-A78N-01A"
"5afa342e-e797-44a8-9665-0a3edb0eb9f4"	"TCGA-FD-A3SN-01A"
"25a19751-1157-44e1-944f-c62618415fb8"	"TCGA-GU-AATP-01A"
"f9dc9110-41c6-4444-8aca-b7e1ad9d8ed9"	"TCGA-DK-A3IU-01A"
"1dd405fb-d053-4df6-8695-f01e4083e459"	"TCGA-4Z-AA86-01A"
"872e896d-bf70-40ee-9501-193b38aa5966"	"TCGA-VR-A8EX-01A"
"b25dcb17-07aa-4ec6-b09e-c200db0fb38b"	"TCGA-L5-A43J-01A"
"c052b234-a30d-43d0-8da2-b3e66a559ac5"	"TCGA-XP-A8T6-01A"
"45c6bc3c-30c9-4ee0-a3fc-0be01bf5f055"	"TCGA-2H-A9GH-01A"
"ee74b056-8c1f-42b2-ba16-3f8f6997d76f"	"TCGA-LN-A49S-01A"
"a4e9688b-3595-49bc-a4c5-4056ebe45868"	"TCGA-XP-A8T8-01A"
"243e3b43-a5d1-497a-a4e6-e153c26e4702"	"TCGA-AF-3911-01A"
"824f28db-845c-477c-b24b-1bb9734d23d0"	"TCGA-AG-4021-01A"
"21af03b2-c0cc-4d17-95bf-c1e4f448bffb"	"TCGA-EI-6510-01A"
"3f30f5ec-67ea-439a-a619-b01e08979cfd"	"TCGA-AF-2690-01A"
"97f9d55d-4364-4567-be65-3a17151b7fa7"	"TCGA-AG-4022-01A"
"6ef9f03c-fdba-4521-8aa8-96039f996e50"	"TCGA-HU-A4GP-11A"
"246f0dd2-3f9f-486a-bbd9-83550b93d602"	"TCGA-BR-8297-01A"
"7d89d71a-664d-46e4-add7-b78086e766fc"	"TCGA-F1-6177-01A"
"9ddac3ff-9f6f-4879-ab13-e558256c18f5"	"TCGA-B7-5818-01A"
"27ccabe0-6107-4e36-be47-a9b7b7a370db"	"TCGA-WB-A81R-01A"
"be70099d-6573-4adb-b662-fc49fcc424a9"	"TCGA-W2-A7HA-01B"
"b7b13f2d-edf7-4484-aadb-466633859b21"	"TCGA-WB-A81K-01A"
"566bb929-bf70-4866-bbe7-a1609d117d25"	"TCGA-TT-A6YJ-01A"
"7533a4c5-4b76-492b-a104-4d5c1372c57c"	"TCGA-SP-A6QC-01A"
"649e1644-8a70-4a9b-ba8e-1c91d9e41c93"	"TCGA-QR-A70R-01A"
"9aad4381-02ed-495e-bd25-bcf172bc629b"	"TCGA-RW-A68B-01A"
"e1f8bad5-cc60-4b7b-beea-52b7a5b0f3ca"	"TCGA-PR-A5PG-01A"
"eb78050b-7db3-40fd-bb4f-867097bbbc8f"	"TCGA-QT-A5XM-01A"
"6c8a2f66-f077-4e89-a6c4-aaf6dc9b69f7"	"TCGA-WB-A80V-01A"
"22f903f0-da35-4387-b1c0-c1bcdbe4dcef"	"TCGA-S7-A7X1-01A"
"df6e4e2b-5bac-4717-a080-d194acb54301"	"TCGA-RW-A686-06A"
"fcdc4d74-4d75-478d-b30d-f7aa2f9c6ca0"	"TCGA-W2-A7H5-01B"
"06eaef61-cd69-49c4-8705-58f318d9b29b"	"TCGA-P8-A5KD-11A"
"1fe17016-cde7-4376-a78c-a87b3cc6d748"	"TCGA-S7-A7X2-01A"
"1230db1a-a2d3-447f-a233-5f66fd64eef2"	"TCGA-QR-A70A-01A"
"b819359a-fa01-4c0f-a82f-138e80d5dc81"	"TCGA-QR-A6H4-01A"
"9b2216f9-9dc3-40bb-a03e-f6870dfd8db5"	"TCGA-4V-A9QX-01A"
"0b4a566d-ab61-41a4-b000-8b1cf64d70e6"	"TCGA-4X-A9FB-01A"
"f8231e14-466b-4da9-aced-b6642ffa5205"	"TCGA-ZB-A96L-01A"
"d1deb048-5b52-4e75-bc32-ee3463e3d9c2"	"TCGA-A6-5656-01B"
"9dfc77b3-9367-4e8b-8f33-16d0386f2d4e"	"TCGA-5M-AAT4-01A"
"3df51538-178a-4193-999d-04c802fe07a5"	"TCGA-AY-A69D-01A"
"791424fa-78f1-42c1-af61-c3a9409e7aac"	"TCGA-AA-3979-01A"
"547a1d08-1dd9-442c-a041-e5469caa210e"	"TCGA-A6-5660-01A"
"4d4f923e-d215-4424-af59-ae245af0e0b1"	"TCGA-AA-A02E-01A"
"4e9cb7e8-f93d-458d-8c35-7ad62fa1356c"	"TCGA-A6-6138-01A"
"3dd034cc-fd06-400d-997d-770bee184fa5"	"TCGA-AA-3489-01A"
"383fee60-4c61-4507-b155-8cc26a936423"	"TCGA-AA-A02K-01A"
"ff229f64-4411-488c-88c4-46b964df737d"	"TCGA-CK-6751-01A"
"d9848a65-fea8-4449-b8d2-2fc6faf9e8f5"	"TCGA-CM-6680-01A"
"b2f0d7ec-5531-4dfd-86b4-156107a7ee9c"	"TCGA-A6-3810-01A"
"db99181c-131e-4836-9599-9878c5b14536"	"TCGA-22-4604-01A"
"2b72eae5-edef-4970-9cfa-9de2c9bfd882"	"TCGA-21-5784-01A"
"3b6ed54b-ba64-48fc-bd32-23ab28307cb3"	"TCGA-39-5028-01A"
"c7ec782a-e71b-4476-8d84-08a962dd3154"	"TCGA-22-5489-01A"
"72752a03-d966-46b7-85fd-a3603c66e665"	"TCGA-HU-A4H5-01A"
"49e36c84-a818-4b66-b99a-0c2c433ce89d"	"TCGA-CG-4460-01A"
"8accf593-2f57-4248-8958-371c01500f9d"	"TCGA-BR-6453-11A"
"5b89579d-19e9-4b4e-aba4-08eb4a636316"	"TCGA-CG-4444-01A"
"45da69eb-ddb4-4390-86d1-22bac6ff958a"	"TCGA-CD-A486-01A"
"af5149b9-7972-4d2f-8ea5-e9f00033bbad"	"TCGA-D7-A6F2-01A"
"c599e0fd-6d16-4c63-b1c0-e35686fcca58"	"TCGA-VQ-A8P3-01A"
"c15022d7-c95d-4250-ab0a-87544bece8e0"	"TCGA-BR-8369-01A"
"f643ce8b-bf15-44fb-8eea-b63af0c70a25"	"TCGA-BR-8682-01A"
"dd788888-039a-49c1-860e-15f2ac39f7d6"	"TCGA-VQ-A8P8-01A"
"c913597e-93b3-417e-8120-b82a1f8830c6"	"TCGA-L5-A4OS-01A"
"e4a386ee-3f6c-432b-957b-885ad5238cec"	"TCGA-LN-A9FP-01A"
"ec7ff82c-3ea6-4b95-ab5a-314f191fb9bb"	"TCGA-LN-A4A8-01A"
"8766df3d-3455-4726-a9b0-5df478891803"	"TCGA-JY-A939-01A"
"854a7352-0333-4aa5-92f9-6f155ed5a5a7"	"TCGA-EI-6507-01A"
"dc31eaaf-07a3-4d42-abfa-7ce9937903a7"	"TCGA-CL-4957-01A"
